Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2013-03-05,2.5,2.99,2.5,2.55,38000,2.55,,1,2013
2013-03-06,2.75,2.75,2.61,2.65,115300,2.65,,1,2013
2013-03-07,2.68,2.74,2.6,2.7,99100,2.7,,1,2013
2013-03-08,2.75,2.77,2.65,2.73,464400,2.73,,1,2013
2013-03-11,2.73,2.85,2.71,2.8,403800,2.8,,1,2013
2013-03-12,2.8,2.85,2.66,2.75,78700,2.75,,1,2013
2013-03-13,2.66,2.75,2.62,2.75,120900,2.75,,1,2013
2013-03-14,2.75,2.79,2.65,2.79,74600,2.79,,1,2013
2013-03-15,2.66,2.9,2.6,2.62,315300,2.62,,1,2013
2013-03-18,2.6,2.68,2.59,2.68,70000,2.68,,1,2013
2013-03-19,2.63,2.68,2.62,2.62,21700,2.62,,1,2013
2013-03-20,2.62,2.68,2.32,2.43,424200,2.43,,1,2013
2013-03-21,2.35,2.68,2.35,2.35,106300,2.35,,1,2013
2013-03-22,2.35,2.476,2.15,2.42,172300,2.42,,1,2013
2013-03-25,2.46,2.5,2.25,2.25,182500,2.25,36.8421052632,1,2013
2013-03-26,2.25,2.63,2.25,2.34,875400,2.34,41.7910447761,1,2013
2013-03-27,2.3,2.67,2.28,2.5,118400,2.5,49.384359401,1,2013
2013-03-28,2.58,2.6,2.45,2.5,235700,2.5,49.384359401,1,2013
2013-04-01,2.25,2.5,2.25,2.49,56600,2.49,48.9217726818,2,2013
2013-04-02,2.45,2.68,2.43,2.64,139800,2.64,55.6348497706,2,2013
2013-04-03,2.69,2.69,2.46,2.62,276600,2.62,54.6043765951,2,2013
2013-04-04,2.65,2.65,2.6,2.6,55400,2.6,53.5364918949,2,2013
2013-04-05,2.6,2.63,2.58,2.6,22400,2.6,53.5364918949,2,2013
2013-04-08,2.51,2.64,2.51,2.6,33800,2.6,53.5364918949,2,2013
2013-04-09,2.6,2.6,2.505,2.6,17200,2.6,53.5364918949,2,2013
2013-04-10,2.54,2.6,2.51,2.54,13700,2.54,49.6206984726,2,2013
2013-04-11,2.58,2.58,2.51,2.58,15200,2.58,52.1342519949,2,2013
2013-04-12,2.44,2.58,2.43,2.56,7600,2.56,50.7702959405,2,2013
2013-04-15,2.5,2.56,2.45,2.54,33700,2.54,49.379047711,2,2013
2013-04-16,2.55,2.55,2.47,2.54,60500,2.54,49.379047711,2,2013
2013-04-17,2.45,2.54,2.45,2.49,10500,2.49,45.7445556969,2,2013
2013-04-18,2.42,2.54,2.31,2.49,32800,2.49,45.7445556969,2,2013
2013-04-19,2.32,2.54,2.32,2.34,38100,2.34,36.418231938,2,2013
2013-04-22,2.34,2.48,2.34,2.4,5500,2.4,41.5514475715,2,2013
2013-04-23,2.4,2.51,2.4,2.41,69500,2.41,42.3863121136,2,2013
2013-04-24,2.36,2.54,2.36,2.455,33600,2.455,46.1162151928,2,2013
2013-04-25,2.35,2.54,2.35,2.53,53700,2.53,51.7256804814,2,2013
2013-04-26,2.53,2.53,2.46,2.46,22200,2.46,46.8259577885,2,2013
2013-04-29,2.38,2.55,2.38,2.55,255900,2.55,52.991494468,2,2013
2013-04-30,2.5,2.6,2.5,2.6,37400,2.6,56.0410116016,2,2013
2013-05-01,2.62,2.63,2.58,2.62,8600,2.62,57.2360373142,2,2013
2013-05-02,2.5,2.65,2.5,2.59,32500,2.59,54.8282937353,2,2013
2013-05-03,2.43,2.64,2.43,2.6,56400,2.6,55.5002815029,2,2013
2013-05-06,2.56,2.6,2.55,2.6,13100,2.6,55.5002815029,2,2013
2013-05-07,2.56,2.6,2.5,2.6,21900,2.6,55.5002815029,2,2013
2013-05-08,2.6,2.6,2.55,2.6,29000,2.6,55.5002815029,2,2013
2013-05-09,2.43,2.57,2.4,2.57,72800,2.57,52.3573663755,2,2013
2013-05-10,2.57,2.6,2.5,2.6,89300,2.6,55.0958409808,2,2013
2013-05-13,2.6,2.63,2.5,2.63,29300,2.63,57.7134222809,2,2013
2013-05-14,2.62,2.74,2.55,2.74,43800,2.74,65.6257306043,2,2013
2013-05-15,2.74,2.76,2.72,2.76,22300,2.76,66.8405992695,2,2013
2013-05-16,2.75,2.89,2.59,2.89,105600,2.89,73.4171167427,2,2013
2013-05-17,3.0,3.0,2.7,3.0,86300,3.0,77.4860059802,2,2013
2013-05-20,2.75,3.37,2.74,3.02,27500,3.02,78.1411299443,2,2013
2013-05-21,2.66,3.25,2.66,2.87,21900,2.87,63.2708108886,2,2013
2013-05-22,3.0,3.0,2.72,2.98,9400,2.98,68.0695942713,2,2013
2013-05-23,2.96,3.0,2.665,2.98,28000,2.98,68.0695942713,2,2013
2013-05-24,2.98,3.0,2.55,3.0,22300,3.0,68.9257008332,2,2013
2013-05-28,2.95,2.98,2.8,2.98,2400,2.98,66.9913865494,2,2013
2013-05-29,2.61,3.0,2.6,2.99,21300,2.99,67.4827628142,2,2013
2013-05-30,2.73,2.99,2.73,2.96,15400,2.96,64.3861610119,2,2013
2013-05-31,2.96,3.0,2.75,3.0,47600,3.0,66.5876805896,2,2013
2013-06-03,2.99,3.0,2.7,2.99,5500,2.99,65.4976117688,2,2013
2013-06-04,2.7,3.0,2.7,2.99,11000,2.99,65.4976117688,2,2013
2013-06-05,2.87,2.99,2.85,2.98,25700,2.98,64.2772552643,2,2013
