Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-11-06,10.35,12.627,10.35,11.97,258300,11.97,,4,2014
2014-11-07,13.0,13.29,12.5,13.29,126200,13.29,,4,2014
2014-11-10,13.48,16.709999,13.25,16.0,172800,16.0,,4,2014
2014-11-11,17.5,18.476,16.0,16.469999,187000,16.469999,,4,2014
2014-11-12,16.5,16.99,13.1,13.41,136200,13.41,,4,2014
2014-11-13,13.27,13.42,12.0,13.42,140400,13.42,,4,2014
2014-11-14,13.0,13.41,12.51,12.7,43800,12.7,,4,2014
2014-11-17,13.2,13.99,13.08,13.45,33200,13.45,,4,2014
2014-11-18,13.51,14.0,13.45,14.0,59100,14.0,,4,2014
2014-11-19,14.0,14.0,13.6,13.66,34300,13.66,,4,2014
2014-11-20,13.61,13.655,12.84,13.17,66000,13.17,,4,2014
2014-11-21,13.3,13.7,12.55,12.65,45500,12.65,,4,2014
2014-11-24,12.75,12.75,12.5,12.52,28500,12.52,,4,2014
2014-11-25,12.6,12.91,12.51,12.68,22200,12.68,,4,2014
2014-11-26,12.62,12.67,12.5,12.54,25300,12.54,52.506596747,4,2014
2014-11-28,12.51,13.4,12.51,13.2,28900,13.2,55.3008604764,4,2014
2014-12-01,13.05,13.18,12.06,12.21,43400,12.21,50.5011876286,4,2014
2014-12-02,12.5,13.85,12.3,13.15,46600,13.15,54.5360118525,4,2014
2014-12-03,13.5,15.05,13.5,14.47,90200,14.47,59.5253578202,4,2014
2014-12-04,14.7,14.82,13.62,13.74,37700,13.74,55.8734864361,4,2014
2014-12-05,13.6,14.55,13.01,13.96,39400,13.96,56.734946615,4,2014
2014-12-08,13.6,14.419,13.6,14.24,18000,14.24,57.8624678314,4,2014
2014-12-09,13.61,14.61,13.6,14.6,23500,14.6,59.3300103522,4,2014
2014-12-10,14.26,16.620001,14.06,16.07,128200,16.07,64.7314412703,4,2014
2014-12-11,16.209999,18.0,15.75,17.139999,99400,17.139999,68.0569761713,4,2014
2014-12-12,16.709999,17.6,16.059999,17.049999,37000,17.049999,67.4806124532,4,2014
2014-12-15,17.690001,18.0,15.03,15.48,79300,15.48,58.2181964579,4,2014
2014-12-16,15.67,15.98,14.69,15.39,43800,15.39,57.7290180781,4,2014
2014-12-17,15.23,15.49,14.72,15.262,31600,15.262,56.9955160138,4,2014
2014-12-18,15.91,16.639999,15.3,16.01,49300,16.01,60.1796311277,4,2014
2014-12-19,16.0,17.15,15.58,15.6,31200,15.6,57.6595572935,4,2014
2014-12-22,15.5,15.85,14.6,15.24,79400,15.24,55.4633507823,4,2014
2014-12-23,15.62,15.98,14.99,15.31,16600,15.31,55.8157617901,4,2014
2014-12-24,15.12,15.495,15.12,15.495,5000,15.495,56.7889243133,4,2014
2014-12-26,15.88,17.5,15.83,17.045,64400,17.045,63.9526094494,4,2014
2014-12-29,17.49,20.549999,17.25,19.91,213000,19.91,72.8967775442,4,2014
2014-12-30,20.4,21.950001,19.75,19.790001,161300,19.790001,72.0899540181,4,2014
2014-12-31,19.860001,21.23,19.5,19.75,42200,19.75,71.804654705,4,2014
2015-01-02,19.790001,20.6,18.500999,18.700001,38600,18.700001,64.5798557219,1,2015
2015-01-05,19.18,20.49,18.5,19.15,50400,19.15,66.1517271844,1,2015
2015-01-06,19.1,19.834999,18.58,18.84,36900,18.84,64.0432218503,1,2015
2015-01-07,19.42,21.879999,19.049999,20.9,95700,20.9,70.7216007441,1,2015
2015-01-08,21.379999,23.1,21.0,23.0,126600,23.0,75.680465842,1,2015
2015-01-09,23.23,23.5,21.540001,21.870001,71100,21.870001,68.9164968756,1,2015
2015-01-12,22.18,22.631001,21.5,21.92,93200,21.92,69.048313465,1,2015
2015-01-13,22.0,22.547001,21.700001,21.82,84500,21.82,68.4233312028,1,2015
2015-01-14,21.700001,22.278999,21.030001,21.629999,94800,21.629999,67.1791329676,1,2015
2015-01-15,21.67,22.209999,21.125,21.98,54900,21.98,68.3218615781,1,2015
2015-01-16,22.120001,22.25,21.27,21.65,39800,21.65,65.9889742351,1,2015
2015-01-20,21.559999,21.774,17.809999,17.969999,135200,17.969999,46.7985319045,1,2015
2015-01-21,18.129999,18.91,17.01,18.309999,97700,18.309999,48.2946462429,1,2015
2015-01-22,18.26,20.68,18.01,20.6,66100,20.6,57.0545571998,1,2015
2015-01-23,19.4,20.24,19.02,20.24,38300,20.24,55.4637237503,1,2015
2015-01-26,19.66,20.4,19.15,19.440001,42100,19.440001,51.9942671224,1,2015
2015-01-27,19.209999,19.74,18.25,18.950001,60500,18.950001,49.9339244487,1,2015
2015-01-28,19.1,19.139999,18.120001,18.25,46300,18.25,47.0646873443,1,2015
2015-01-29,18.139999,18.33,16.6,17.24,54100,17.24,43.2069574172,1,2015
2015-01-30,17.24,17.889999,16.26,17.790001,31000,17.790001,45.8117237339,1,2015
2015-02-02,17.719999,17.870001,16.705,17.25,28600,17.25,43.69287468,1,2015
2015-02-03,17.0,17.0,15.25,15.81,76100,15.81,38.5698760435,1,2015
2015-02-04,15.78,15.78,14.03,14.86,128700,14.86,35.6039671305,1,2015
2015-02-05,14.78,15.75,14.75,15.24,29200,15.24,37.6686841418,1,2015
2015-02-06,15.3,15.97,15.3,15.57,31900,15.57,39.4833283362,1,2015
2015-02-09,15.84,16.33,15.52,15.66,19300,15.66,39.9963973277,1,2015
2015-02-10,15.72,16.25,15.5,16.1,43800,16.1,42.5603351058,1,2015
2015-02-11,16.09,16.09,15.1,16.049999,16200,16.049999,42.3389335002,1,2015
2015-02-12,16.0,16.200001,15.6,16.200001,23600,16.200001,43.2919997763,1,2015
2015-02-13,16.004999,16.75,15.86,16.370001,20600,16.370001,44.4133657281,1,2015
2015-02-17,16.424999,16.74,16.290001,16.52,8600,16.52,45.438575783,1,2015
2015-02-18,16.75,17.25,16.73,17.190001,17300,17.190001,49.8847281284,1,2015
2015-02-19,17.16,19.74,17.16,19.65,60800,19.65,62.0974237759,1,2015
2015-02-20,19.9,20.809999,18.99,19.379999,124700,19.379999,60.3588328748,1,2015
2015-02-23,19.559999,19.860001,18.75,19.33,19700,19.33,60.0236921885,1,2015
2015-02-24,19.209999,20.09,18.92,19.799999,30000,19.799999,62.1511423568,1,2015
2015-02-25,20.485001,20.485001,19.0,19.280001,24600,19.280001,58.445229467,1,2015
2015-02-26,19.17,19.537001,18.879999,19.049999,10900,19.049999,56.8310696058,1,2015
2015-02-27,19.1,20.200001,19.1,19.34,35600,19.34,58.3914574059,1,2015
2015-03-02,19.139999,19.76,19.139999,19.76,6700,19.76,60.6120026975,1,2015
2015-03-03,19.5,19.870001,18.309999,18.459999,21700,18.459999,51.4580344031,1,2015
2015-03-04,18.5,19.08,16.68,18.700001,41200,18.700001,52.8730966094,1,2015
2015-03-05,18.700001,19.700001,18.040001,19.450001,54400,19.450001,57.0834103847,1,2015
2015-03-06,19.4,19.83,18.205,19.219999,53300,19.219999,55.4474156549,1,2015
2015-03-09,19.309999,19.5,18.57,18.639999,9800,18.639999,51.443511621,1,2015
2015-03-10,18.5,19.0,17.1,17.870001,31200,17.870001,46.629477273,1,2015
2015-03-11,17.799999,17.799999,16.719999,17.299999,38500,17.299999,43.3923261397,1,2015
2015-03-12,17.5,18.209999,17.040001,18.16,35300,18.16,49.1304222918,1,2015
2015-03-13,18.85,18.870001,17.92,18.35,24800,18.35,50.3283764405,1,2015
2015-03-16,18.25,18.52,17.030001,17.65,32000,17.65,46.027757147,1,2015
2015-03-17,17.48,17.950001,17.25,17.76,17100,17.76,46.7971223325,1,2015
2015-03-18,17.91,18.049999,17.01,17.389999,21300,17.389999,44.4993317278,1,2015
2015-03-19,17.690001,19.0,17.379999,18.690001,40600,18.690001,53.1951079521,1,2015
2015-03-20,19.0,19.01,17.959999,18.58,33000,18.58,52.4463138611,1,2015
2015-03-23,18.6,18.99,17.91,18.85,16200,18.85,54.1522416157,1,2015
2015-03-24,18.450001,18.98,17.452,18.889999,17600,18.889999,54.4131488349,1,2015
2015-03-25,18.860001,18.860001,16.5,16.83,47900,16.83,41.3591823621,1,2015
