Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2013-09-19,18.5,20.799999,18.5,19.99,5516900,19.99,,3,2013
2013-09-20,20.450001,20.99,19.799999,20.99,331100,20.99,,3,2013
2013-09-23,21.25,21.68,19.83,20.030001,334700,20.030001,,3,2013
2013-09-24,20.15,22.0,19.9,21.700001,453400,21.700001,,3,2013
2013-09-25,22.49,22.99,22.01,22.57,342100,22.57,,3,2013
2013-09-26,23.290001,23.41,21.709999,22.139999,175200,22.139999,,3,2013
2013-09-27,21.84,23.0,21.84,22.92,141100,22.92,,3,2013
2013-09-30,22.799999,22.959999,22.0,22.23,320500,22.23,,3,2013
2013-10-01,22.23,22.950001,21.790001,22.5,241300,22.5,,4,2013
2013-10-02,22.549999,23.49,21.99,23.49,136300,23.49,,4,2013
2013-10-03,24.0,25.969999,23.040001,25.790001,284200,25.790001,,4,2013
2013-10-04,25.790001,26.73,25.389999,25.889999,316700,25.889999,,4,2013
2013-10-07,25.75,26.389999,25.01,25.9,258600,25.9,,4,2013
2013-10-08,25.709999,26.24,22.799999,23.200001,158900,23.200001,,4,2013
2013-10-09,23.110001,23.18,19.209999,19.98,318800,19.98,49.9687304565,4,2013
2013-10-10,20.9,22.49,20.110001,20.629999,270900,20.629999,52.0671029587,4,2013
2013-10-11,20.5,22.4,20.5,22.120001,100000,22.120001,56.5643452112,4,2013
2013-10-14,22.48,22.790001,21.190001,21.280001,113100,21.280001,53.5159387726,4,2013
2013-10-15,21.280001,22.360001,21.280001,22.129999,76700,22.129999,56.0944713236,4,2013
2013-10-16,22.200001,22.84,21.709999,22.620001,83600,22.620001,57.556137134,4,2013
2013-10-17,22.6,22.6,21.549999,22.049999,128400,22.049999,55.2518381987,4,2013
2013-10-18,21.4,22.85,21.4,22.799999,78000,22.799999,57.6541407232,4,2013
2013-10-21,22.82,22.82,21.85,22.370001,70800,22.370001,55.8044002531,4,2013
2013-10-22,22.370001,22.85,22.0,22.75,72400,22.75,57.1138769772,4,2013
2013-10-23,22.76,23.450001,22.57,23.059999,32500,23.059999,58.2018993395,4,2013
2013-10-24,23.34,23.5,22.790001,23.25,159300,23.25,58.8903067674,4,2013
2013-10-25,22.940001,23.799999,22.66,22.85,65200,22.85,56.7704800816,4,2013
2013-10-28,23.200001,23.99,22.0,23.76,30200,23.76,60.2739471441,4,2013
2013-10-29,23.58,23.65,22.139999,22.74,29700,22.74,54.9029291829,4,2013
2013-10-30,22.969999,23.25,22.75,22.85,86400,22.85,55.3648643512,4,2013
2013-10-31,22.940001,23.209999,21.57,22.540001,29600,22.540001,53.695605348,4,2013
2013-11-01,22.52,22.52,21.1,21.24,13000,21.24,47.2604971969,4,2013
2013-11-04,21.1,21.1,20.0,20.280001,68100,20.280001,43.1481388412,4,2013
2013-11-05,20.33,22.219999,20.059999,21.459999,80400,21.459999,49.0201441964,4,2013
2013-11-06,21.629999,21.65,16.780001,19.530001,328400,19.530001,41.4746931043,4,2013
2013-11-07,20.309999,20.450001,17.26,17.4,39900,17.4,35.0605707839,4,2013
2013-11-08,17.42,18.82,16.780001,18.5,57300,18.5,40.2036835818,4,2013
2013-11-11,18.549999,19.200001,18.5,19.030001,15200,19.030001,42.5640011953,4,2013
2013-11-12,19.129999,19.41,18.59,19.01,72000,19.01,42.4958298233,4,2013
2013-11-13,18.940001,19.809999,18.940001,19.459999,18000,19.459999,44.6440006072,4,2013
2013-11-14,19.59,19.74,18.959999,19.290001,9600,19.290001,43.9756585917,4,2013
2013-11-15,19.74,20.530001,19.049999,19.709999,39100,19.709999,46.1216978091,4,2013
2013-11-18,19.700001,19.92,19.25,19.469999,72800,19.469999,45.0595225469,4,2013
2013-11-19,19.51,19.959999,19.15,19.77,17400,19.77,46.7115605843,4,2013
2013-11-20,19.790001,20.33,19.76,19.76,41600,19.76,46.6611936591,4,2013
2013-11-21,20.02,20.52,19.77,20.52,19000,20.52,50.9866663977,4,2013
2013-11-22,21.02,21.879999,19.959999,21.07,16500,21.07,53.9002194176,4,2013
2013-11-25,20.870001,21.5,20.799999,21.24,19800,21.24,54.7946960368,4,2013
2013-11-26,21.49,21.74,20.879999,21.450001,18300,21.450001,55.9321890484,4,2013
2013-11-27,21.549999,22.01,21.040001,21.68,82800,21.68,57.2023777713,4,2013
2013-11-29,21.809999,22.08,21.290001,21.77,69600,21.77,57.7159769503,4,2013
2013-12-02,21.76,22.110001,21.5,22.09,57300,22.09,59.5736176247,4,2013
2013-12-03,22.41,23.52,21.59,23.280001,69100,23.280001,65.6221043423,4,2013
2013-12-04,23.27,24.76,22.91,24.08,73100,24.08,68.9819766446,4,2013
2013-12-05,24.030001,24.780001,23.440001,24.110001,46100,24.110001,69.1039255078,4,2013
2013-12-06,24.110001,26.049999,23.83,25.99,86900,25.99,75.5824050709,4,2013
2013-12-09,26.23,28.9,26.23,27.24,170700,27.24,78.7699600171,4,2013
2013-12-10,27.469999,30.0,26.950001,29.92,91100,29.92,83.686950897,4,2013
2013-12-11,30.610001,31.43,27.379999,28.07,190800,28.07,71.3945849315,4,2013
2013-12-12,27.0,29.549999,25.27,29.219999,315500,29.219999,73.9555483366,4,2013
2013-12-13,28.9,29.940001,28.0,29.190001,98600,29.190001,73.7700181716,4,2013
2013-12-16,28.98,30.620001,28.4,28.719999,193200,28.719999,70.7742306006,4,2013
2013-12-17,28.92,28.92,26.82,27.620001,158400,27.620001,64.2027719958,4,2013
2013-12-18,27.860001,29.99,26.809999,27.209999,281100,27.209999,61.8958807041,4,2013
2013-12-19,26.870001,28.93,26.15,28.74,146700,28.74,66.7038123383,4,2013
2013-12-20,29.0,30.0,27.120001,30.0,1206300,30.0,70.0548295516,4,2013
2013-12-23,29.73,33.830002,29.530001,32.970001,197000,32.970001,76.1483839396,4,2013
2013-12-24,32.970001,33.849998,31.74,32.75,119300,32.75,74.9320184873,4,2013
2013-12-26,32.849998,35.549999,32.23,35.139999,201500,35.139999,78.8790805385,4,2013
2013-12-27,35.810001,37.279999,34.389999,35.25,149600,35.25,79.0426396589,4,2013
2013-12-30,35.580002,37.66,35.150002,35.259998,145900,35.259998,79.0585130838,4,2013
2013-12-31,35.150002,40.02,35.150002,39.599998,254200,39.599998,84.534471193,4,2013
2014-01-02,39.919998,40.0,36.860001,38.110001,136000,38.110001,77.082225023,1,2014
2014-01-03,38.200001,39.990002,37.759998,39.009998,124200,39.009998,78.3251632323,1,2014
2014-01-06,39.380001,40.950001,38.099998,40.939999,151100,40.939999,80.73776144,1,2014
2014-01-07,41.810001,43.700001,41.220001,41.669998,332400,41.669998,81.5732257372,1,2014
2014-01-08,41.459999,42.369999,40.279999,41.259998,188200,41.259998,79.4879255783,1,2014
2014-01-09,42.060001,49.330002,42.0,48.990002,192000,48.990002,86.4966927673,1,2014
2014-01-10,48.759998,48.759998,40.939999,47.150002,533300,47.150002,79.5306023059,1,2014
2014-01-13,45.639999,48.369999,45.43,46.310001,194500,46.310001,76.5015517938,1,2014
2014-01-14,46.310001,48.779999,46.310001,48.52,94300,48.52,78.7903271629,1,2014
2014-01-15,49.310001,50.650002,47.990002,48.73,159800,48.73,78.9996432279,1,2014
2014-01-16,48.490002,48.790001,47.150002,47.419998,69900,47.419998,74.0877136442,1,2014
2014-01-17,47.099998,50.369999,46.09,49.139999,205800,49.139999,76.1817236661,1,2014
2014-01-21,47.0,51.990002,45.810001,51.66,175900,51.66,78.8752503888,1,2014
2014-01-22,51.540001,57.889999,51.040001,56.700001,354900,56.700001,83.0128316994,1,2014
2014-01-23,53.25,53.389999,50.919998,51.009998,1866000,51.009998,67.0467229435,1,2014
2014-01-24,50.779999,51.669998,48.689999,49.029999,291200,49.029999,62.5391478276,1,2014
2014-01-27,49.0,49.0,44.119999,46.080002,295200,46.080002,56.449821142,1,2014
2014-01-28,46.0,48.330002,45.900002,47.389999,147700,47.389999,58.3874690179,1,2014
2014-01-29,48.400002,50.299999,47.32,49.639999,212300,49.639999,61.5516379164,1,2014
2014-01-30,51.91,52.84,49.0,49.650002,233300,49.650002,61.5656301718,1,2014
2014-01-31,48.66,48.830002,44.209999,46.349998,279400,46.349998,54.5169139583,1,2014
2014-02-03,46.099998,46.650002,43.459999,44.630001,137200,44.630001,51.2249779574,1,2014
2014-02-04,45.009998,46.939999,43.950001,44.48,287200,44.48,50.9361115396,1,2014
2014-02-05,44.029999,45.380001,43.810001,44.540001,125400,44.540001,51.0550089912,1,2014
2014-02-06,44.970001,45.400002,44.029999,44.5,200400,44.5,50.9663360653,1,2014
2014-02-07,45.41,45.52,42.619999,43.470001,229500,43.470001,48.6244898227,1,2014
2014-02-10,43.939999,45.5,42.630001,45.240002,149600,45.240002,52.6508151466,1,2014
2014-02-11,45.5,45.5,43.799999,44.439999,95800,44.439999,50.7161672839,1,2014
2014-02-12,44.34,45.240002,43.509998,43.790001,101700,43.790001,49.1363572306,1,2014
2014-02-13,43.130001,44.400002,40.290001,43.990002,206100,43.990002,49.6560072334,1,2014
2014-02-14,43.369999,43.84,41.16,41.75,250200,41.75,44.2083619726,1,2014
2014-02-18,42.16,45.889999,41.700001,45.610001,324200,45.610001,53.6457222887,1,2014
2014-02-19,45.330002,46.5,43.959999,44.360001,161700,44.360001,50.6573729364,1,2014
2014-02-20,44.169998,46.610001,43.189999,46.080002,189900,46.080002,54.4198622356,1,2014
2014-02-21,46.32,48.130001,43.549999,47.490002,291300,47.490002,57.2946785273,1,2014
2014-02-24,47.790001,49.0,44.880001,45.279999,313700,45.279999,51.781896166,1,2014
2014-02-25,46.5,47.470001,45.040001,46.869999,170700,46.869999,55.1271505832,1,2014
2014-02-26,46.0,50.099998,45.970001,46.900002,246500,46.900002,55.1903252642,1,2014
2014-02-27,46.52,47.639999,45.0,47.029999,177600,47.029999,55.4827680372,1,2014
2014-02-28,46.84,48.59,45.5,46.93,179400,46.93,55.1844135705,1,2014
2014-03-03,46.290001,49.34,46.009998,48.52,167100,48.52,58.9630543237,1,2014
2014-03-04,49.099998,53.849998,48.75,50.52,233200,50.52,63.1696426115,1,2014
2014-03-05,50.48,53.57,50.450001,52.27,181900,52.27,66.4138454329,1,2014
2014-03-06,52.349998,53.93,50.740002,51.75,168900,51.75,64.5931450898,1,2014
2014-03-07,52.43,52.43,48.830002,51.43,182800,51.43,63.4405465087,1,2014
2014-03-10,51.450001,53.07,49.369999,50.139999,207300,50.139999,58.8793439066,1,2014
2014-03-11,51.099998,51.360001,47.740002,47.98,179700,47.98,52.1219217115,1,2014
2014-03-12,47.509998,49.34,47.009998,48.130001,139200,48.130001,52.529366165,1,2014
2014-03-13,48.419998,48.610001,45.009998,45.639999,147700,45.639999,45.5931651999,1,2014
2014-03-14,45.299999,47.639999,44.099998,45.25,254400,45.25,44.5998179942,1,2014
2014-03-17,45.560001,45.830002,42.470001,42.5,258700,42.5,38.2684683786,1,2014
2014-03-18,42.599998,44.040001,38.0,40.080002,1074100,40.080002,33.7305781034,1,2014
2014-03-19,40.23,40.610001,39.380001,39.799999,513800,39.799999,33.239445193,1,2014
2014-03-20,39.549999,39.610001,38.32,38.919998,335700,38.919998,31.6783034667,1,2014
2014-03-21,38.98,39.099998,38.52,39.009998,438600,39.009998,32.0299047658,1,2014
2014-03-24,39.049999,39.66,37.91,38.549999,264200,38.549999,31.1476062149,1,2014
2014-03-25,38.779999,39.07,37.52,38.200001,473100,38.200001,30.4600876563,1,2014
2014-03-26,38.639999,38.689999,36.509998,36.75,322200,36.75,27.7293106005,1,2014
2014-03-27,36.830002,36.889999,35.91,36.310001,202000,36.310001,26.9400479848,1,2014
2014-03-28,36.25,38.360001,33.93,34.279999,337700,34.279999,23.6022144624,1,2014
2014-03-31,34.689999,35.34,33.810001,34.5,173300,34.5,24.6912069083,1,2014
2014-04-01,34.740002,35.259998,33.029999,33.869999,168400,33.869999,23.6515157684,2,2014
2014-04-02,38.0,42.240002,37.400002,38.330002,974600,38.330002,42.2051748976,2,2014
2014-04-03,38.0,38.529999,35.529999,37.16,363400,37.16,39.4937728788,2,2014
2014-04-04,37.41,37.41,34.560001,35.959999,213800,35.959999,36.8770143393,2,2014
2014-04-07,35.619999,36.810001,35.09,36.369999,410600,36.369999,38.3792867074,2,2014
2014-04-08,36.459999,36.779999,35.799999,36.009998,631900,36.009998,37.534596552,2,2014
2014-04-09,36.299999,38.009998,35.919998,37.830002,174600,37.830002,44.218690669,2,2014
2014-04-10,38.439999,38.439999,36.02,36.709999,618700,36.709999,41.2905924005,2,2014
2014-04-11,36.240002,38.119999,34.869999,36.540001,308700,36.540001,40.8484474868,2,2014
2014-04-14,36.84,38.5,35.630001,37.16,299700,37.16,43.2358176749,2,2014
2014-04-15,37.220001,37.419998,33.610001,34.5,262600,34.5,36.4404536785,2,2014
2014-04-16,34.720001,38.169998,34.490002,37.799999,353800,37.799999,47.4707483958,2,2014
2014-04-17,38.02,39.279999,37.700001,38.41,224600,38.41,49.2248664725,2,2014
2014-04-21,38.080002,38.529999,35.77,36.369999,155000,36.369999,43.9403458359,2,2014
2014-04-22,35.75,36.860001,34.66,35.009998,420300,35.009998,40.7959875054,2,2014
2014-04-23,35.0,35.259998,33.060001,33.419998,206700,33.419998,37.4241752863,2,2014
2014-04-24,33.630001,35.189999,30.01,31.85,1931800,31.85,34.400741947,2,2014
2014-04-25,32.380001,32.619999,30.719999,32.5,284400,32.5,36.6814924013,2,2014
2014-04-28,32.740002,32.740002,30.799999,32.419998,340900,32.419998,36.5132245298,2,2014
2014-04-29,32.5,33.860001,32.080002,33.700001,178800,33.700001,41.1636704967,2,2014
