Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,3.87,4.05,3.75,3.96,347000,3.96,,1,2012
2012-01-04,3.94,3.96,3.83,3.88,151700,3.88,,1,2012
2012-01-05,3.85,4.27,3.77,4.23,389600,4.23,,1,2012
2012-01-06,4.21,4.21,3.83,4.04,278800,4.04,,1,2012
2012-01-09,4.05,4.22,3.96,4.12,209900,4.12,,1,2012
2012-01-10,4.17,4.2,4.0,4.0,194500,4.0,,1,2012
2012-01-11,4.0,4.41,3.86,4.4,237000,4.4,,1,2012
2012-01-12,4.42,4.42,4.21,4.32,167700,4.32,,1,2012
2012-01-13,4.26,4.41,4.23,4.34,116200,4.34,,1,2012
2012-01-17,4.37,4.5,4.05,4.12,348600,4.12,,1,2012
2012-01-18,4.25,4.45,4.25,4.44,207600,4.44,,1,2012
2012-01-19,4.44,4.53,4.35,4.45,93300,4.45,,1,2012
2012-01-20,4.43,4.49,4.31,4.31,176300,4.31,,1,2012
2012-01-23,4.3,4.3,4.21,4.28,86400,4.28,,1,2012
2012-01-24,4.27,4.37,4.21,4.35,140800,4.35,59.2417061611,1,2012
2012-01-25,4.33,4.34,4.11,4.18,198600,4.18,54.5119087555,1,2012
2012-01-26,4.18,4.19,4.04,4.09,132700,4.09,52.1386084853,1,2012
2012-01-27,4.06,4.2,4.06,4.2,140200,4.2,54.732674334,1,2012
2012-01-30,4.15,4.23,4.01,4.16,136000,4.16,53.5951180433,1,2012
2012-01-31,4.18,4.4,4.11,4.17,407900,4.17,53.8533388322,1,2012
2012-02-01,4.24,4.5,4.24,4.43,217800,4.43,60.0740597163,1,2012
2012-02-02,4.45,4.59,4.41,4.43,125000,4.43,60.0740597163,1,2012
2012-02-03,4.53,4.76,4.47,4.71,262000,4.71,65.8275410903,1,2012
2012-02-06,4.7,4.88,4.62,4.7,243000,4.7,65.4647058747,1,2012
2012-02-07,4.69,4.69,4.46,4.48,115600,4.48,57.9031471074,1,2012
2012-02-08,4.5,4.64,4.44,4.5,157800,4.5,58.3738665977,1,2012
2012-02-09,4.52,4.61,4.48,4.56,90400,4.56,59.8252161971,1,2012
2012-02-10,4.51,4.57,4.29,4.3,123500,4.3,51.4532816289,1,2012
2012-02-13,4.35,4.49,4.32,4.46,73600,4.46,55.5734542688,1,2012
2012-02-14,4.42,4.46,4.22,4.28,138800,4.28,50.3919711423,1,2012
2012-02-15,4.31,4.35,4.1,4.13,219400,4.13,46.5010461641,1,2012
