Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,4.51,4.55,4.22,4.3,455200,4.3,,1,2012
2012-01-04,4.25,4.32,4.2,4.21,202400,4.21,,1,2012
2012-01-05,4.18,4.32,4.17,4.3,203100,4.3,,1,2012
2012-01-06,4.29,4.31,4.15,4.15,388300,4.15,,1,2012
2012-01-09,4.18,4.36,4.15,4.35,464300,4.35,,1,2012
2012-01-10,4.41,4.57,4.37,4.55,419500,4.55,,1,2012
2012-01-11,4.54,5.18,4.47,5.15,1054800,5.15,,1,2012
2012-01-12,5.12,5.16,4.82,5.02,670300,5.02,,1,2012
2012-01-13,4.94,5.12,4.75,5.1,804300,5.1,,1,2012
2012-01-17,5.14,5.27,5.04,5.16,591400,5.16,,1,2012
2012-01-18,5.16,5.25,5.1,5.17,448100,5.17,,1,2012
2012-01-19,5.17,5.32,5.17,5.32,547500,5.32,,1,2012
2012-01-20,5.15,5.19,5.0,5.11,3726300,5.11,,1,2012
2012-01-23,5.1,5.15,5.0,5.05,594100,5.05,,1,2012
2012-01-24,5.04,5.17,5.04,5.11,844100,5.11,69.3779904306,1,2012
2012-01-25,5.1,5.15,5.02,5.1,654700,5.1,69.0223361406,1,2012
2012-01-26,5.1,5.32,5.08,5.22,1205200,5.22,70.9470347378,1,2012
2012-01-27,5.27,5.71,5.22,5.6,1688400,5.6,76.0266404197,1,2012
2012-01-30,5.7,5.75,5.42,5.43,949200,5.43,70.120113922,1,2012
2012-01-31,5.5,5.6,5.28,5.31,1323400,5.31,66.2098508668,1,2012
2012-02-01,5.36,5.62,5.35,5.58,803600,5.58,70.2321799148,1,2012
2012-02-02,5.6,5.71,5.54,5.59,669700,5.59,70.372848882,1,2012
2012-02-03,5.72,5.73,5.54,5.69,835400,5.69,71.8075730487,1,2012
2012-02-06,5.69,5.77,5.55,5.69,671100,5.69,71.8075730487,1,2012
2012-02-07,5.7,5.75,5.54,5.65,704600,5.65,70.2298540867,1,2012
2012-02-08,5.65,5.7,5.41,5.45,690900,5.45,62.8001003065,1,2012
2012-02-09,5.45,5.54,5.3,5.32,453000,5.32,58.4701315147,1,2012
2012-02-10,5.27,5.44,5.25,5.28,641100,5.28,57.1641133337,1,2012
2012-02-13,5.5,5.56,5.12,5.35,1020800,5.35,58.894479581,1,2012
2012-02-14,5.31,5.37,5.06,5.17,843200,5.17,52.9691510464,1,2012
2012-02-15,5.2,5.21,5.0,5.06,689700,5.06,49.6797124526,1,2012
2012-02-16,5.07,5.2,5.06,5.19,464500,5.19,53.3655876822,1,2012
2012-02-17,5.21,5.22,5.03,5.12,389600,5.12,51.1912229672,1,2012
2012-02-21,5.15,5.19,4.94,5.01,482200,5.01,47.8891436924,1,2012
2012-02-22,5.0,5.03,4.85,4.9,290200,4.9,44.7785271421,1,2012
2012-02-23,4.9,5.03,4.87,5.02,294800,5.02,48.6937201536,1,2012
2012-02-24,5.01,5.07,4.96,4.96,225000,4.96,46.9031081088,1,2012
2012-02-27,4.93,5.03,4.9,5.0,252300,5.0,48.2688667676,1,2012
2012-02-28,5.02,5.06,4.9,4.92,208500,4.92,45.7350859635,1,2012
2012-02-29,4.94,4.98,4.86,4.91,327300,4.91,45.4141724246,1,2012
2012-03-01,4.91,4.98,4.59,4.61,912700,4.61,37.0215280929,1,2012
2012-03-02,4.63,4.71,4.62,4.65,641000,4.65,38.6495074291,1,2012
2012-03-05,4.65,4.7,4.65,4.66,265900,4.66,39.0735285484,1,2012
2012-03-06,4.65,4.76,4.65,4.68,535300,4.68,39.9671895143,1,2012
2012-03-07,4.68,4.84,4.65,4.77,503300,4.77,43.9512839807,1,2012
2012-03-08,4.81,4.89,4.77,4.89,234000,4.89,48.8276852346,1,2012
2012-03-09,4.88,4.99,4.82,4.92,763700,4.92,49.9989038949,1,2012
2012-03-12,4.92,5.08,4.85,5.03,417100,5.03,54.1433050382,1,2012
2012-03-13,5.08,5.15,4.96,5.15,507200,5.15,58.2124436114,1,2012
2012-03-14,5.12,5.17,5.0,5.06,395000,5.06,54.319304882,1,2012
2012-03-15,5.05,5.08,4.98,5.04,344200,5.04,53.4636186011,1,2012
2012-03-16,5.06,5.19,5.0,5.14,499200,5.14,57.1023388494,1,2012
2012-03-19,5.13,5.25,5.09,5.24,427300,5.24,60.4340145947,1,2012
2012-03-20,5.2,5.22,5.05,5.09,355600,5.09,53.6971710515,1,2012
2012-03-21,5.11,5.25,5.07,5.23,399700,5.23,58.3624889013,1,2012
2012-03-22,5.21,5.25,5.06,5.12,263500,5.12,53.7776423661,1,2012
2012-03-23,5.13,5.22,4.97,5.11,238200,5.11,53.3671950929,1,2012
2012-03-26,5.2,5.44,5.19,5.37,740200,5.37,61.5781227797,1,2012
