Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,11.51,11.53,11.14,11.47,83100,11.47,,1,2012
2012-01-04,11.46,12.45,11.44,12.01,207800,12.01,,1,2012
2012-01-05,12.0,12.07,11.9,12.0,67500,12.0,,1,2012
2012-01-06,12.03,12.66,11.9,12.21,104500,12.21,,1,2012
2012-01-09,12.31,12.33,11.05,11.16,240800,11.16,,1,2012
2012-01-10,11.24,11.24,10.05,10.25,364300,10.25,,1,2012
2012-01-11,10.3,10.3,9.82,10.05,352700,10.05,,1,2012
2012-01-12,10.06,10.28,9.96,10.15,151000,10.15,,1,2012
2012-01-13,10.3,10.83,10.3,10.75,523600,10.75,,1,2012
2012-01-17,10.87,11.14,10.7,11.08,394900,11.08,,1,2012
2012-01-18,11.9,11.95,11.35,11.58,984800,11.58,,1,2012
2012-01-19,11.79,12.05,11.6,11.86,378800,11.86,,1,2012
2012-01-20,11.88,12.04,11.45,11.56,191300,11.56,,1,2012
2012-01-23,11.63,12.32,11.56,11.84,164000,11.84,,1,2012
2012-01-24,11.99,12.2,11.48,11.64,143300,11.64,51.5426497278,1,2012
2012-01-25,11.72,11.82,11.47,11.47,105700,11.47,49.8851506553,1,2012
2012-01-26,11.55,11.71,11.0,11.45,249300,11.45,49.6827286372,1,2012
2012-01-27,11.42,11.42,11.05,11.17,74100,11.17,46.8184441024,1,2012
2012-01-30,11.1,12.05,11.0,11.93,151100,11.93,54.4881007487,1,2012
2012-01-31,12.09,12.44,11.88,12.0,405000,12.0,55.1299609697,1,2012
2012-02-01,12.07,12.09,11.2,11.31,198600,11.31,47.9511824139,1,2012
2012-02-02,11.45,11.45,11.11,11.15,142500,11.15,46.441031653,1,2012
2012-02-03,11.3,11.53,11.2,11.28,114900,11.28,47.8773655067,1,2012
2012-02-06,11.28,11.65,11.25,11.34,120500,11.34,48.5629980492,1,2012
2012-02-07,11.36,11.55,11.2,11.34,92300,11.34,48.5629980492,1,2012
2012-02-08,11.54,11.75,11.5,11.54,144300,11.54,51.0521248423,1,2012
2012-02-09,11.57,11.74,11.2,11.22,160000,11.22,47.1228902574,1,2012
2012-02-10,11.25,11.33,11.17,11.21,108800,11.21,47.0011491308,1,2012
2012-02-13,11.31,11.33,11.08,11.2,71700,11.2,46.8707448239,1,2012
2012-02-14,11.23,11.37,11.05,11.08,80500,11.08,45.2483659278,1,2012
2012-02-15,11.13,11.23,11.05,11.07,79700,11.07,45.1082428137,1,2012
2012-02-16,11.13,11.26,11.05,11.18,156400,11.18,47.050669871,1,2012
2012-02-17,11.26,11.6,11.25,11.3,129000,11.3,49.1640694072,1,2012
2012-02-21,11.43,11.59,11.33,11.37,57300,11.37,50.4075476748,1,2012
2012-02-22,11.46,11.49,11.25,11.28,81500,11.28,48.7562444832,1,2012
2012-02-23,11.34,11.34,11.1,11.26,168600,11.26,48.3769800006,1,2012
2012-02-24,11.26,11.36,11.07,11.27,93200,11.27,48.5923051443,1,2012
2012-02-27,11.26,11.28,11.04,11.07,91400,11.07,44.586672825,1,2012
