Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2012-01-03,54.48,54.84,53.889999,53.939999,1958100,52.168975,,1,2012
2012-01-04,53.66,53.919998,52.990002,53.209999,1755000,51.462944,,1,2012
2012-01-05,52.970001,53.970001,52.700001,53.84,2199000,52.07226,,1,2012
2012-01-06,53.860001,54.310001,53.639999,53.98,1643000,52.207662,,1,2012
2012-01-09,53.939999,54.5,53.889999,54.380001,1711600,52.594531,,1,2012
2012-01-10,54.830002,55.790001,54.540001,55.52,2765600,53.6971,,1,2012
2012-01-11,55.189999,55.5,54.869999,55.299999,1182400,53.484322,,1,2012
2012-01-12,55.419998,55.419998,54.619999,55.060001,1557400,53.252204,,1,2012
2012-01-13,54.849998,55.189999,54.610001,55.040001,1046300,53.232861,,1,2012
2012-01-17,55.529999,56.220001,55.049999,55.189999,1452300,53.377933,,1,2012
2012-01-18,55.299999,55.700001,54.790001,55.549999,1308700,53.726114,,1,2012
2012-01-19,55.290001,56.470001,55.0,56.139999,1818900,54.296743,,1,2012
2012-01-20,56.110001,56.240002,55.669998,56.049999,1028600,54.209697,,1,2012
2012-01-23,55.91,56.419998,55.720001,56.060001,1002500,54.219371,,1,2012
2012-01-24,55.580002,56.700001,54.959999,56.549999,1861500,54.693281,75.0479962246,1,2012
2012-01-25,56.310001,58.07,55.98,57.75,2796700,55.853882,80.0071110365,1,2012
2012-01-26,60.91,61.889999,59.049999,59.610001,4641400,57.652812,84.987538761,1,2012
2012-01-27,59.57,60.919998,59.380001,60.5,1766700,58.51359,86.6954066416,1,2012
2012-01-30,60.049999,61.200001,59.639999,60.950001,2432500,58.948816,87.4714929977,1,2012
2012-01-31,61.119999,61.599998,60.419998,60.75,1873800,58.755382,85.095646118,1,2012
2012-02-01,60.639999,61.580002,60.32,60.849998,2630600,58.852097,85.3104811915,1,2012
2012-02-02,60.900002,61.57,60.799999,61.360001,1818500,59.345354,86.3881223549,1,2012
