Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2015-01-27,12.16,12.4,10.99,11.01,1565100,11.01,,1,2015
2015-01-28,11.07,11.4,11.0,11.05,155300,11.05,,1,2015
2015-01-29,11.08,11.37,10.99,11.2,246200,11.2,,1,2015
2015-01-30,11.2,11.37,10.9,11.09,132000,11.09,,1,2015
2015-02-02,11.21,11.298,10.93,11.09,35200,11.09,,1,2015
2015-02-03,11.05,11.29,11.0,11.05,52200,11.05,,1,2015
2015-02-04,11.14,11.14,11.0,11.05,11500,11.05,,1,2015
2015-02-05,11.01,11.09,11.0,11.01,30700,11.01,,1,2015
2015-02-06,11.01,11.08,11.0,11.0,11400,11.0,,1,2015
2015-02-09,11.0,11.06,11.0,11.02,41300,11.02,,1,2015
2015-02-10,11.09,11.11,11.0,11.04,24500,11.04,,1,2015
2015-02-11,11.01,11.025,11.0,11.01,59200,11.01,,1,2015
2015-02-12,11.05,11.05,11.0,11.01,56000,11.01,,1,2015
2015-02-13,11.0,11.01,11.0,11.0,39600,11.0,,1,2015
2015-02-17,11.0,11.1,11.0,11.1,38800,11.1,57.8947368421,1,2015
2015-02-18,11.02,11.11,11.003,11.02,25100,11.02,50.2930832356,1,2015
2015-02-19,11.1,11.1,11.0,11.0,12300,11.0,48.5759080219,1,2015
2015-02-20,11.01,11.2,11.0,11.09,50400,11.09,55.8767224876,1,2015
2015-02-23,11.02,11.2,10.98,11.05,51100,11.05,52.3213447945,1,2015
2015-02-24,11.1,11.18,11.015,11.17,12800,11.17,60.4513747969,1,2015
2015-02-25,11.18,11.18,11.06,11.135,20500,11.135,57.3782047716,1,2015
2015-02-26,11.02,11.07,11.0,11.04,15500,11.04,49.954878372,1,2015
2015-02-27,11.03,11.03,10.0,10.38,73700,10.38,25.3841152487,1,2015
2015-03-02,10.23,10.48,9.8,10.06,15200,10.06,20.1970719056,1,2015
2015-03-03,10.0,10.14,9.75,9.89,5700,9.89,18.0830339944,1,2015
2015-03-04,9.75,9.9,9.75,9.88,9200,9.88,17.9639204236,1,2015
2015-03-05,10.06,10.5,10.06,10.32,19800,10.32,37.4784142163,1,2015
2015-03-06,10.4,10.97,10.38,10.9,22600,10.9,53.2613708501,1,2015
2015-03-09,10.95,11.3,10.85,11.09,21800,11.09,57.0833998586,1,2015
2015-03-10,10.99,11.19,10.51,10.72,15500,10.72,48.726979045,1,2015
2015-03-11,10.51,11.25,10.51,11.06,15600,11.06,55.2149045033,1,2015
2015-03-12,10.7,11.25,10.7,11.17,7100,11.17,57.1059936758,1,2015
2015-03-13,11.1,11.1,10.51,11.06,9500,11.06,54.6221077786,1,2015
2015-03-16,10.852,11.1,10.85,11.07,16900,11.07,54.8145236148,1,2015
2015-03-17,11.07,11.1,10.63,11.1,12100,11.1,55.4251732403,1,2015
2015-03-18,11.03,11.15,10.81,10.83,16000,10.83,49.0061230851,1,2015
2015-03-19,10.84,11.69,10.55,11.67,50000,11.67,63.2616568101,1,2015
2015-03-20,11.65,12.0,9.97,9.97,140200,9.97,39.3104368467,1,2015
2015-03-23,10.3,10.38,9.76,9.99,27500,9.99,39.6001635985,1,2015
2015-03-24,10.1,10.26,9.86,10.26,28300,10.26,43.5201669821,1,2015
2015-03-25,10.17,10.17,9.77,9.77,4500,9.77,38.6213108147,1,2015
2015-03-26,9.67,9.73,8.0,9.12,54500,9.12,33.2710749512,1,2015
2015-03-27,8.9,9.1,8.75,9.01,11400,9.01,32.4517649578,1,2015
2015-03-30,9.01,9.78,8.904,9.53,13600,9.53,39.9766056916,1,2015
2015-03-31,9.49,10.65,9.28,10.11,27400,10.11,47.0605057839,1,2015
2015-04-01,10.25,10.25,9.37,10.06,5600,10.06,46.5504676839,2,2015
2015-04-02,9.441,10.6,9.441,10.33,47500,10.33,49.7194820965,2,2015
2015-04-06,9.33,10.5,9.33,10.41,1900,10.41,50.6530618447,2,2015
