Date,Open,High,Low,Close,Volume,Adj Close,rsi,quarter,year
2014-06-18,27.209999,28.379999,26.5,28.379999,4652200,28.379999,,2,2014
2014-06-19,27.74,28.280001,27.110001,27.610001,109200,27.610001,,2,2014
2014-06-20,27.84,30.665001,27.75,28.5,182900,28.5,,2,2014
2014-06-23,29.35,29.73,28.6,29.129999,131200,29.129999,,2,2014
2014-06-24,28.98,29.540001,28.82,28.91,182100,28.91,,2,2014
2014-06-25,29.139999,29.299999,28.58,28.58,66300,28.58,,2,2014
2014-06-26,28.610001,28.85,27.469999,27.469999,34300,27.469999,,2,2014
2014-06-27,27.58,27.940001,26.1,27.15,34400,27.15,,2,2014
2014-06-30,27.15,28.9,27.08,28.75,95300,28.75,,2,2014
2014-07-01,28.75,30.5,28.105,30.040001,83800,30.040001,,3,2014
2014-07-02,30.030001,30.030001,27.93,28.440001,109000,28.440001,,3,2014
2014-07-03,28.530001,30.450001,28.15,28.690001,15800,28.690001,,3,2014
2014-07-07,28.860001,29.450001,28.02,28.139999,68600,28.139999,,3,2014
2014-07-08,27.9,28.649,26.51,27.16,59900,27.16,,3,2014
2014-07-09,27.17,30.5,26.815001,28.48,88700,28.48,50.4215894827,3,2014
2014-07-10,27.950001,28.24,27.200001,28.209999,37100,28.209999,49.2149906962,3,2014
2014-07-11,28.01,30.0,27.92,29.49,43100,29.49,54.7440546451,3,2014
2014-07-14,31.93,33.0,29.1,30.49,288500,30.49,58.5416001525,3,2014
2014-07-15,29.66,31.219,28.030001,29.24,111600,29.24,52.5999463551,3,2014
2014-07-16,29.48,29.85,28.299999,28.77,90300,28.77,50.5235551303,3,2014
2014-07-17,28.450001,29.728001,28.309999,29.059999,59700,29.059999,51.7881772122,3,2014
2014-07-18,29.07,31.34,28.011,29.48,122900,29.48,53.6364966366,3,2014
2014-07-21,30.26,30.700001,29.219999,30.469999,61000,30.469999,57.7483383174,3,2014
2014-07-22,30.1,31.0,29.200001,30.129999,46900,30.129999,55.9142858059,3,2014
2014-07-23,29.959999,30.549999,29.476,30.549999,23500,30.549999,57.701404026,3,2014
2014-07-24,30.719999,30.799999,29.58,29.879999,37600,29.879999,53.9446401611,3,2014
2014-07-25,29.5,30.200001,28.502001,28.85,64300,28.85,48.6957742726,3,2014
2014-07-28,28.85,29.48,28.261,29.18,8400,29.18,50.362220638,3,2014
2014-07-29,29.02,29.4,28.549999,29.08,50900,29.08,49.8339767371,3,2014
2014-07-30,29.379999,29.440001,27.0,28.200001,59700,28.200001,45.3282444763,3,2014
2014-07-31,27.809999,28.940001,27.08,28.01,68600,28.01,44.3949224199,3,2014
2014-08-01,28.129999,28.35,27.299999,27.49,38200,27.49,41.8548805429,3,2014
2014-08-04,27.5,27.735001,25.51,26.17,77200,26.17,36.1938259852,3,2014
2014-08-05,26.0,27.549999,26.0,27.549999,31100,27.549999,44.6261195231,3,2014
2014-08-06,27.75,29.09,27.01,28.52,96700,28.52,49.6618065618,3,2014
2014-08-07,28.85,29.559999,28.41,28.700001,50600,28.700001,50.5603042848,3,2014
2014-08-08,28.9,29.165001,27.309999,28.15,26100,28.15,47.7554180482,3,2014
2014-08-11,28.43,30.02,27.209999,28.99,54400,28.99,52.1238472968,3,2014
2014-08-12,28.959999,30.48,28.23,28.77,59300,28.77,50.9228964737,3,2014
2014-08-13,28.84,29.940001,28.01,29.75,37500,29.75,55.8074604059,3,2014
2014-08-14,30.0,30.15,28.68,29.02,29500,29.02,51.6811621715,3,2014
2014-08-15,28.860001,30.18,28.0,29.9,105300,29.9,55.9129500388,3,2014
2014-08-18,30.059999,30.68,29.82,30.57,45900,30.57,58.8667256812,3,2014
2014-08-19,30.84,31.98,30.0,31.610001,27900,31.610001,63.0095774573,3,2014
2014-08-20,31.780001,34.419998,31.0,33.740002,99500,33.740002,69.733200375,3,2014
2014-08-21,33.91,36.43,33.310001,34.580002,133600,34.580002,71.9022512725,3,2014
2014-08-22,34.580002,35.02,31.51,32.560001,61800,32.560001,60.6466862973,3,2014
2014-08-25,32.939999,38.540001,32.77,38.200001,153500,38.200001,73.2416386344,3,2014
2014-08-26,37.75,42.450001,37.75,41.509998,149500,41.509998,77.7436134045,3,2014
2014-08-27,41.84,43.0,37.48,39.240002,160500,39.240002,69.1510191877,3,2014
2014-08-28,38.82,40.0,37.759998,39.0,111400,39.0,68.2916072793,3,2014
2014-08-29,39.049999,41.490002,39.049999,40.290001,77300,40.290001,70.4195842561,3,2014
2014-09-02,41.130001,42.400002,37.900002,38.279999,201300,38.279999,63.292143347,3,2014
2014-09-03,38.650002,40.59,38.400002,39.0,162600,39.0,64.671530832,3,2014
2014-09-04,39.0,39.34,37.490002,38.849998,83600,38.849998,64.1308476415,3,2014
2014-09-05,38.619999,39.481998,36.737999,38.970001,114900,38.970001,64.3873631311,3,2014
2014-09-08,39.0,39.970001,38.299999,39.650002,169400,39.650002,65.8765445723,3,2014
2014-09-09,39.700001,40.75,39.006001,39.689999,166500,39.689999,65.9666913498,3,2014
2014-09-10,39.529999,40.349998,38.880001,39.48,180600,39.48,64.9958300489,3,2014
